test_id,famous,gender,age,proof,exposure_duration,image_name,response_time,correctly_recognized,actually_is_famous
03,Y,1,24,justin bieber,0.25,Justin Bieber.jpg,1.687000036239624,Y,Y
03,Y,1,58,obama,0.25,Barack Obama.jpg,0.7560000419616699,Y,Y
03,N,9,51,blank,0.25,NotFamousW4.png,1.623000144958496,U,N
03,Y,9,34,idk,0.22395833333333334,KlookAlike.jpg,0.8890001773834229,U,N
03,U,5,34,idk,0.22395833333333334,Lady Gaga.jpg,0,U,Y
03,N,9,32,blank,0.22395833333333334,Britney Spears.jpg,1.2950000762939453,U,Y
03,N,1,34,blank,0.22395833333333334,NotFamousM3.png,1.0839998722076416,U,N
03,N,1,54,blank,0.14583333333333331,Jim Carrey.jpg,1.4660000801086426,U,Y
03,Y,1,43,elvis,0.14583333333333331,Elvis Presley.jpg,1.0450000762939453,Y,Y
03,N,9,37,blank,0.14583333333333331,NotFamousW3.png,0.999000072479248,U,N
03,Y,1,45,idk,0.14583333333333331,NotFamousM4.png,1.0290000438690186,U,N
03,N,1,34,blank,0.19791666666666666,Steve Jobs.jpg,1.3259999752044678,U,Y
03,U,5,45,idk,0.19791666666666666,Angelina Jolie.jpg,0,U,Y
03,N,1,36,blank,0.19791666666666666,maleNotFamouse.jpg,1.5180001258850098,U,N
03,U,9,34,idk,0.19791666666666666,StylistlookAlike.jpg,0,U,N
03,Y,9,52,oprah,0.171875,Oprah Winfrey.jpg,0.9199998378753662,Y,Y
03,N,9,34,blank,0.171875,NotFamousW2.png,1.3570001125335693,U,N
03,U,1,32,idk,0.171875,NotFamousM5.png,0,U,N
03,U,5,0,idk,0.171875,Miley Cyrus.jpg,0,U,Y
04,U,8,30,not sure,0.22395833333333334,Britney Spears.jpg,0,U,Y
04,U,9,50,dont know,0.22395833333333334,Michelle Obama.jpg,0,U,Y
04,N,1,30,blank,0.22395833333333334,NotFamousM1.png,1.4509999752044678,U,N
04,U,8,26,kirsten stewart,0.22395833333333334,KlookAlike.jpg,0,N,N
04,U,3,65,donald trump,0.25,Donald Trump.jpg,0,Y,Y
04,U,1,38,not sure,0.25,Jim Carrey.jpg,0,U,Y
04,U,7,30,not sure,0.25,NotFamousW1.png,0,U,N
04,U,1,28,not sure,0.25,NotFamousLookAlike.jpg,0,U,N
04,U,3,55,not sure,0.19791666666666666,NotFamousM4.png,0,U,N
04,U,7,45,angelina jolie,0.19791666666666666,Angelina Jolie.jpg,0,Y,Y
04,N,8,25,blank,0.19791666666666666,NotFamousW2.png,1.7829999923706055,U,N
04,U,1,70,newton,0.19791666666666666,Albert Einstein.jpg,0,N,Y
04,U,5,40,not sure,0.06770833333333331,Lady Gaga.jpg,0,U,Y
04,U,3,50,barack obama,0.06770833333333331,Barack Obama.jpg,0,Y,Y
04,U,3,50,barack obama,0.06770833333333331,NotFamousM2.png,0,N,N
04,U,5,30,not sure,0.06770833333333331,NotFamousM5.png,0,U,N
04,U,6,60,operah,0.171875,Oprah Winfrey.jpg,0,Y,Y
04,U,8,38,not sure,0.171875,NotFamousW5.png,0,U,N
04,U,9,28,not sure,0.171875,Christina Aguilera.jpg,0,U,Y
04,U,2,45,not sure,0.171875,NotFamousM3.png,0,U,N
04,Y,9,25,justin bieber,0.11979166666666666,Justin Bieber.jpg,0.9200000762939453,Y,Y
04,U,5,30,not sure,0.11979166666666666,Steve Jobs.jpg,0,U,Y
04,Y,3,25,not sure,0.11979166666666666,maleNotFamouse.jpg,0.9679999351501465,U,N
04,U,8,28,not sure,0.11979166666666666,NotFamousW3.png,0,U,N
04,Y,9,38,not sure,0.14583333333333331,Beyonce Knowles.jpg,1.7779998779296875,U,Y
04,U,6,38,michael jackson,0.14583333333333331,Michael Jackson.jpg,0,Y,Y
04,Y,3,59,not sure,0.14583333333333331,DavidBlookAlike.jpg,1.0139999389648438,U,N
04,Y,7,43,victoria beckham,0.14583333333333331,StylistlookAlike.jpg,1.684999942779541,N,N
04,Y,2,17,broklyn beckham,0.09375,Elvis Presley.jpg,0.810999870300293,N,Y
04,Y,7,20,not sure,0.09375,NotSoFamouse.jpg,1.0460000038146973,U,N
04,U,8,65,not sure,0.09375,NotFamousW4.png,0,U,N
04,U,3,30,not sure,0.09375,Miley Cyrus.jpg,0,U,Y
05,Y,3,25,not sure,0.19791666666666666,Justin Bieber.jpg,1.2009999752044678,U,Y
05,U,5,30,not sure,0.19791666666666666,NotFamousM3.png,0,U,N
05,U,4,45,not sure,0.19791666666666666,NotFamousLookAlike.jpg,0,U,N
05,U,4,65,not sure,0.19791666666666666,Donald Trump.jpg,0,U,Y
05,U,1,60,not sure,0.25,Steve Jobs.jpg,0,U,Y
05,U,9,30,not sure,0.25,NotFamousW3.png,0,U,N
05,U,1,28,not sure,0.25,Miley Cyrus.jpg,0,U,Y
05,U,1,55,not sure,0.25,DavidBlookAlike.jpg,0,U,N
05,U,9,31,not sure,0.14583333333333331,Britney Spears.jpg,0,U,Y
05,U,4,33,not sure,0.14583333333333331,Lady Gaga.jpg,0,U,Y
05,U,1,29,not sure,0.14583333333333331,maleNotFamouse.jpg,0,U,N
05,U,9,30,not sure,0.14583333333333331,NotFamousW1.png,0,U,N
06,U,1,30,elvis,0.06770833333333331,Elvis Presley.jpg,0,Y,Y
06,U,5,35,na,0.06770833333333331,Michael Jackson.jpg,0,U,Y
06,U,9,25,na,0.06770833333333331,NotFamousW2.png,0,U,N
06,N,8,38,blank,0.06770833333333331,NotFamousW4.png,1.497999906539917,U,N
06,Y,9,30,beyonce,0.25,Beyonce Knowles.jpg,1.0299999713897705,Y,Y
06,N,9,23,blank,0.25,KlookAlike.jpg,0.7960000038146973,U,N
